Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_testsuite_excel005,Chrome 121.0.0.0,,,08-02-2024 15:58:57,08-02-2024 15:59:51,53.756s,PASSED
,,,,,,,
Test Cases/Amazon_testcase_005,Chrome 121.0.0.0,,,08-02-2024 15:58:58,08-02-2024 15:59:51,52.967s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 15:58:58,08-02-2024 15:59:02,4.403s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 15:59:02,08-02-2024 15:59:05,2.824s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 15:59:05,08-02-2024 15:59:08,3.071s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 15:59:08,08-02-2024 15:59:11,2.822s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 15:59:11,08-02-2024 15:59:14,2.986s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 15:59:15,08-02-2024 15:59:16,1.628s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,08-02-2024 15:59:16,08-02-2024 15:59:17,0.871s,PASSED
"click(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,08-02-2024 15:59:17,08-02-2024 15:59:31,13.960s,PASSED
"setText(findTestObject(""Amazon_button005/Page_Amazon Sign In/input_Email or mobile phone number_email""), Email)",Chrome 121.0.0.0,,,08-02-2024 15:59:31,08-02-2024 15:59:33,1.798s,PASSED
"click(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,08-02-2024 15:59:33,08-02-2024 15:59:34,1.370s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Amazon Sign In/input_Forgot Password_password""), ""0KgSb6dmQkDO+DyTs7S1JA=="")",Chrome 121.0.0.0,,,08-02-2024 15:59:34,08-02-2024 15:59:35,1.302s,PASSED
"click(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Amazon Sign In/input_Enter your password_signInSubmit""))",Chrome 121.0.0.0,,,08-02-2024 15:59:35,08-02-2024 15:59:36,0.521s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _a62561""), ""search-alias=appliances"", true)",Chrome 121.0.0.0,,,08-02-2024 15:59:36,08-02-2024 15:59:42,6.172s,PASSED
"setText(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), Input)",Chrome 121.0.0.0,,,08-02-2024 15:59:42,08-02-2024 15:59:44,1.435s,PASSED
"click(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Chrome 121.0.0.0,,,08-02-2024 15:59:44,08-02-2024 15:59:49,5.345s,PASSED
"click(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Amazon.in  one plus 12/span_OnePlus 12 (Silky Black, 12 GB RAM, 256GB)""))",Chrome 121.0.0.0,,,08-02-2024 15:59:49,08-02-2024 15:59:50,1.333s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,08-02-2024 15:59:50,08-02-2024 15:59:51,0.588s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 15:59:51,08-02-2024 15:59:51,0.007s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 15:59:51,08-02-2024 15:59:51,0.010s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 15:59:51,08-02-2024 15:59:51,0.011s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 15:59:51,08-02-2024 15:59:51,0.011s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 15:59:51,08-02-2024 15:59:51,0.010s,PASSED
