Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_testsuite005,Chrome 121.0.0.0,,,08-02-2024 15:42:52,08-02-2024 15:43:58,1m - 6.632s,PASSED
,,,,,,,
Test Cases/Amazon_testcase_005,Chrome 121.0.0.0,,,08-02-2024 15:42:53,08-02-2024 15:43:58,1m - 5.679s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 15:42:53,08-02-2024 15:43:00,6.844s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 15:43:00,08-02-2024 15:43:04,4.428s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 15:43:04,08-02-2024 15:43:08,3.702s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 15:43:08,08-02-2024 15:43:13,4.575s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 15:43:13,08-02-2024 15:43:16,3.643s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 15:43:17,08-02-2024 15:43:20,2.804s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,08-02-2024 15:43:20,08-02-2024 15:43:21,0.827s,PASSED
"click(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,08-02-2024 15:43:21,08-02-2024 15:43:36,15.747s,PASSED
"setText(findTestObject(""Amazon_button005/Page_Amazon Sign In/input_Email or mobile phone number_email""), Email)",Chrome 121.0.0.0,,,08-02-2024 15:43:36,08-02-2024 15:43:38,1.897s,PASSED
"click(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,08-02-2024 15:43:38,08-02-2024 15:43:40,1.370s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Amazon Sign In/input_Forgot Password_password""), ""0KgSb6dmQkDO+DyTs7S1JA=="")",Chrome 121.0.0.0,,,08-02-2024 15:43:40,08-02-2024 15:43:41,1.175s,PASSED
"click(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Amazon Sign In/input_Enter your password_signInSubmit""))",Chrome 121.0.0.0,,,08-02-2024 15:43:41,08-02-2024 15:43:41,0.519s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _a62561""), ""search-alias=appliances"", true)",Chrome 121.0.0.0,,,08-02-2024 15:43:41,08-02-2024 15:43:48,7.149s,PASSED
"setText(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), Input)",Chrome 121.0.0.0,,,08-02-2024 15:43:48,08-02-2024 15:43:49,0.980s,PASSED
"click(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Chrome 121.0.0.0,,,08-02-2024 15:43:49,08-02-2024 15:43:55,5.643s,PASSED
"click(findTestObject(""Object Repository/Amazontestcase005_OR/Page_Amazon.in  one plus 12/span_OnePlus 12 (Silky Black, 12 GB RAM, 256GB)""))",Chrome 121.0.0.0,,,08-02-2024 15:43:55,08-02-2024 15:43:57,1.473s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,08-02-2024 15:43:57,08-02-2024 15:43:58,1.844s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 15:43:58,08-02-2024 15:43:58,0.010s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 15:43:58,08-02-2024 15:43:58,0.010s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 15:43:58,08-02-2024 15:43:58,0.011s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 15:43:58,08-02-2024 15:43:58,0.011s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 15:43:58,08-02-2024 15:43:58,0.011s,PASSED
